Variable Name,Variable Description,Data File Name,Data File Description,Begin Year,EndYear,Component,Use Constraints
LBDSALSI,Albumin (g/L),BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBDSBUSI,Blood urea nitrogen (mmol/L),BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBDSCASI,Total calcium (mmol/L),BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBDSCHSI,Cholesterol (mmol/L),BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBDSCRSI,Creatinine (umol/L),BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBDSGBSI,Globulin (g/L),BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBDSGLSI,"Glucose, refrigerated serum (mmol/L)",BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBDSIRSI,"Iron, refrigerated serum (umol/L)",BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBDSPHSI,Phosphorus (mmol/L),BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBDSTBSI,Total bilirubin (umol/L),BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBDSTPSI,Total protein (g/L),BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBDSTRSI,"Triglycerides, refrigerated (mmol/L)",BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBDSUASI,Uric acid (umol/L),BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBXSAL,Albumin (g/dL),BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBXSAPSI,Alkaline phosphatase (IU/L),BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBXSASSI,Aspartate aminotransferase AST (U/L),BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBXSATSI,Alanine aminotransferase ALT (U/L),BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBXSBU,Blood urea nitrogen (mg/dL),BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBXSC3SI,Bicarbonate (mmol/L),BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBXSCA,Total calcium (mg/dL),BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBXSCH,Cholesterol (mg/dL),BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBXSCK,Creatine Phosphokinase(CPK) (IU/L),BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBXSCLSI,Chloride (mmol/L),BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBXSCR,Creatinine (mg/dL),BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBXSGB,Globulin (g/dL),BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBXSGL,"Glucose, refrigerated serum (mg/dL)",BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBXSGTSI,Gamma glutamyl transferase (U/L),BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBXSIR,"Iron, refrigerated serum (ug/dL)",BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBXSKSI,Potassium (mmol/L),BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBXSLDSI,Lactate dehydrogenase (U/L),BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBXSNASI,Sodium (mmol/L),BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBXSOSSI,Osmolality (mmol/Kg),BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBXSPH,Phosphorus (mg/dL),BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBXSTB,Total bilirubin (mg/dL),BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBXSTP,Total protein (g/dL),BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBXSTR,"Triglycerides, refrigerated (mg/dL)",BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBXSUA,Uric acid (mg/dL),BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
SEQN,Respondent sequence number.,BIOPRO_H,Standard Biochemistry Profile,2013,2014,Laboratory,None
LBDSCUSI,Serum Copper (umol/L),CUSEZN_H,"Copper, Selenium & Zinc - Serum",2013,2014,Laboratory,None
LBDSSESI,Serum Selenium (umol/L),CUSEZN_H,"Copper, Selenium & Zinc - Serum",2013,2014,Laboratory,None
LBDSZNSI,Serum Zinc (umol/L),CUSEZN_H,"Copper, Selenium & Zinc - Serum",2013,2014,Laboratory,None
LBXSCU,Serum Copper (ug/dL),CUSEZN_H,"Copper, Selenium & Zinc - Serum",2013,2014,Laboratory,None
LBXSSE,Serum Selenium (ug/L),CUSEZN_H,"Copper, Selenium & Zinc - Serum",2013,2014,Laboratory,None
LBXSZN,Serum Zinc (ug/dL),CUSEZN_H,"Copper, Selenium & Zinc - Serum",2013,2014,Laboratory,None
SEQN,Respondent sequence number,CUSEZN_H,"Copper, Selenium & Zinc - Serum",2013,2014,Laboratory,None
URXUCR,Urinary creatinine (mg/dL),CUSEZN_H,"Copper, Selenium & Zinc - Serum",2013,2014,Laboratory,None
WTSA2YR,Subsample A weights,CUSEZN_H,"Copper, Selenium & Zinc - Serum",2013,2014,Laboratory,None
LBXHA,Hepatitis A antibody,HEPA_H,Hepatitis A,2013,2014,Laboratory,None
SEQN,Respondent sequence number,HEPA_H,Hepatitis A,2013,2014,Laboratory,None
LBXHBS,Hepatitis B Surface Antibody,HEPB_S_H,Hepatitis B: Surface Antibody,2013,2014,Laboratory,None
SEQN,Respondent sequence number,HEPB_S_H,Hepatitis B: Surface Antibody,2013,2014,Laboratory,None
LBDHBG,Hepatitis B surface antigen,HEPBD_H,"Hepatitis B: core antibody, surface antigen, and Hepatitis D antibody",2013,2014,Laboratory,None
LBDHD,Hepatitis D (anti-HDV),HEPBD_H,"Hepatitis B: core antibody, surface antigen, and Hepatitis D antibody",2013,2014,Laboratory,None
LBXHBC,Hepatitis B core antibody,HEPBD_H,"Hepatitis B: core antibody, surface antigen, and Hepatitis D antibody",2013,2014,Laboratory,None
SEQN,Respondent sequence number,HEPBD_H,"Hepatitis B: core antibody, surface antigen, and Hepatitis D antibody",2013,2014,Laboratory,None
LBDHI,HIV antibody test result,HIV_H,HIV Antibody Test,2013,2014,Laboratory,None
SEQN,Respondent sequence number,HIV_H,HIV Antibody Test,2013,2014,Laboratory,None
LBXHE1,Herpes Simplex Virus Type 1,HSV_H,Herpes Simplex Virus Type-1 & Type-2,2013,2014,Laboratory,None
LBXHE2,Herpes Simplex Virus Type 2,HSV_H,Herpes Simplex Virus Type-1 & Type-2,2013,2014,Laboratory,None
SEQN,Respondent sequence number,HSV_H,Herpes Simplex Virus Type-1 & Type-2,2013,2014,Laboratory,None
GTDBL2MN,Time from fasting glucose & OGTT (min),OGTT_H,Oral Glucose Tolerance Test,2013,2014,Laboratory,None
GTDCODE,Incomplete OGTT Comment Code,OGTT_H,Oral Glucose Tolerance Test,2013,2014,Laboratory,None
GTDDR1MN,Time from fast glucose & challenge(min),OGTT_H,Oral Glucose Tolerance Test,2013,2014,Laboratory,None
GTDDR2MN,Time from glucose challenge & OGTT(min),OGTT_H,Oral Glucose Tolerance Test,2013,2014,Laboratory,None
GTDSCMMN,Glucose challenge Administer Time in minutes,OGTT_H,Oral Glucose Tolerance Test,2013,2014,Laboratory,None
GTXDRANK,Amount of glucose challenge drank,OGTT_H,Oral Glucose Tolerance Test,2013,2014,Laboratory,None
LBDGLTSI,Two Hour Glucose(OGTT) (mmol/L),OGTT_H,Oral Glucose Tolerance Test,2013,2014,Laboratory,None
LBXGLT,Two Hour Glucose(OGTT) (mg/dL),OGTT_H,Oral Glucose Tolerance Test,2013,2014,Laboratory,None
PHAFSTHR,"Total length of 'food fast', hours",OGTT_H,Oral Glucose Tolerance Test,2013,2014,Laboratory,None
PHAFSTMN,"Total length of 'food fast', minutes",OGTT_H,Oral Glucose Tolerance Test,2013,2014,Laboratory,None
SEQN,Respondent sequence number.,OGTT_H,Oral Glucose Tolerance Test,2013,2014,Laboratory,None
WTSOG2YR,OGTT Subsample 2 Year MEC Weight,OGTT_H,Oral Glucose Tolerance Test,2013,2014,Laboratory,None
SEQN,Respondent sequence number.,PERNT_H,"Perchlorate, Nitrate & Thiocyanate - Urine",2013,2014,Laboratory,None
URDNO3LC,Urinary nitrate comment code,PERNT_H,"Perchlorate, Nitrate & Thiocyanate - Urine",2013,2014,Laboratory,None
URDSCNLC,Urinary thiocyanate comment code,PERNT_H,"Perchlorate, Nitrate & Thiocyanate - Urine",2013,2014,Laboratory,None
URDUP8LC,Urinary Perchlorate comment code,PERNT_H,"Perchlorate, Nitrate & Thiocyanate - Urine",2013,2014,Laboratory,None
URXNO3,Urinary nitrate (ng/mL),PERNT_H,"Perchlorate, Nitrate & Thiocyanate - Urine",2013,2014,Laboratory,None
URXSCN,Urinary thiocyanate (ng/mL),PERNT_H,"Perchlorate, Nitrate & Thiocyanate - Urine",2013,2014,Laboratory,None
URXUCR,Urinary creatinine (mg/dL),PERNT_H,"Perchlorate, Nitrate & Thiocyanate - Urine",2013,2014,Laboratory,None
URXUP8,Urinary perchlorate (ng/mL),PERNT_H,"Perchlorate, Nitrate & Thiocyanate - Urine",2013,2014,Laboratory,None
WTSA2YR,Subsample A weights,PERNT_H,"Perchlorate, Nitrate & Thiocyanate - Urine",2013,2014,Laboratory,None
LBDMPAHL,2-(N-Methyl-perfluorooctane sulfonamido) acetic acid comment code,PFAS_H,Perfluoroalkyl and Polyfluoroalkyl Substances (formerly Polyfluoroalkyl Chemicals - PFC),2013,2014,Laboratory,None
LBDPFBSL,Perfluorobutane sulfonic acid comment code,PFAS_H,Perfluoroalkyl and Polyfluoroalkyl Substances (formerly Polyfluoroalkyl Chemicals - PFC),2013,2014,Laboratory,None
LBDPFDEL,Pefluorodecanoic acid comment code,PFAS_H,Perfluoroalkyl and Polyfluoroalkyl Substances (formerly Polyfluoroalkyl Chemicals - PFC),2013,2014,Laboratory,None
LBDPFDOL,Perflurododecanoic acid comment code,PFAS_H,Perfluoroalkyl and Polyfluoroalkyl Substances (formerly Polyfluoroalkyl Chemicals - PFC),2013,2014,Laboratory,None
LBDPFHPL,Perfluoroheptanoic acid comment code,PFAS_H,Perfluoroalkyl and Polyfluoroalkyl Substances (formerly Polyfluoroalkyl Chemicals - PFC),2013,2014,Laboratory,None
LBDPFHSL,Perfluorohexane sulfonic acid comment,PFAS_H,Perfluoroalkyl and Polyfluoroalkyl Substances (formerly Polyfluoroalkyl Chemicals - PFC),2013,2014,Laboratory,None
LBDPFNAL,Perfluorononanoic acid comment code,PFAS_H,Perfluoroalkyl and Polyfluoroalkyl Substances (formerly Polyfluoroalkyl Chemicals - PFC),2013,2014,Laboratory,None
LBDPFUAL,Perfluoroundecanoic acid comment code,PFAS_H,Perfluoroalkyl and Polyfluoroalkyl Substances (formerly Polyfluoroalkyl Chemicals - PFC),2013,2014,Laboratory,None
LBXMPAH,2-(N-Methyl-perfluorooctane sulfonamido) acetic acid (ug/L),PFAS_H,Perfluoroalkyl and Polyfluoroalkyl Substances (formerly Polyfluoroalkyl Chemicals - PFC),2013,2014,Laboratory,None
LBXPFBS,Perfluorobutane sulfonic acid (ug/L),PFAS_H,Perfluoroalkyl and Polyfluoroalkyl Substances (formerly Polyfluoroalkyl Chemicals - PFC),2013,2014,Laboratory,None
LBXPFDE,Pefluorodecanoic acid (ug/L),PFAS_H,Perfluoroalkyl and Polyfluoroalkyl Substances (formerly Polyfluoroalkyl Chemicals - PFC),2013,2014,Laboratory,None
LBXPFDO,Perflurododecanoic acid (ug/L),PFAS_H,Perfluoroalkyl and Polyfluoroalkyl Substances (formerly Polyfluoroalkyl Chemicals - PFC),2013,2014,Laboratory,None
LBXPFHP,Perfluoroheptanoic acid (ug/L),PFAS_H,Perfluoroalkyl and Polyfluoroalkyl Substances (formerly Polyfluoroalkyl Chemicals - PFC),2013,2014,Laboratory,None
LBXPFHS,Perfluorohexane sulfonic acid (ug/L),PFAS_H,Perfluoroalkyl and Polyfluoroalkyl Substances (formerly Polyfluoroalkyl Chemicals - PFC),2013,2014,Laboratory,None
LBXPFNA,Perfluorononanoic acid (ug/L),PFAS_H,Perfluoroalkyl and Polyfluoroalkyl Substances (formerly Polyfluoroalkyl Chemicals - PFC),2013,2014,Laboratory,None
LBXPFUA,Perfluoroundecanoic acid (ug/L),PFAS_H,Perfluoroalkyl and Polyfluoroalkyl Substances (formerly Polyfluoroalkyl Chemicals - PFC),2013,2014,Laboratory,None
SEQN,Respondent sequence number.,PFAS_H,Perfluoroalkyl and Polyfluoroalkyl Substances (formerly Polyfluoroalkyl Chemicals - PFC),2013,2014,Laboratory,None
WTSB2YR,Subsample B weights,PFAS_H,Perfluoroalkyl and Polyfluoroalkyl Substances (formerly Polyfluoroalkyl Chemicals - PFC),2013,2014,Laboratory,None
LBXEMA,Endomyseal antibody (IgA EMA),TGEMA_H,Tissue Transglutaminase Assay (IgA-TTG) & IgA Endomyseal Antibody Assay (IgA EMA),2013,2014,Laboratory,None
LBXTTG,Tissue transglutaminase(IgA-TTG),TGEMA_H,Tissue Transglutaminase Assay (IgA-TTG) & IgA Endomyseal Antibody Assay (IgA EMA),2013,2014,Laboratory,None
SEQN,Respondent sequence number.,TGEMA_H,Tissue Transglutaminase Assay (IgA-TTG) & IgA Endomyseal Antibody Assay (IgA EMA),2013,2014,Laboratory,None
LBDLDL,LDL-cholesterol (mg/dL),TRIGLY_H,Cholesterol - LDL & Triglycerides,2013,2014,Laboratory,None
LBDLDLSI,LDL-cholesterol (mmol/L),TRIGLY_H,Cholesterol - LDL & Triglycerides,2013,2014,Laboratory,None
LBDTRSI,Triglyceride (mmol/L),TRIGLY_H,Cholesterol - LDL & Triglycerides,2013,2014,Laboratory,None
LBXTR,Triglyceride (mg/dL),TRIGLY_H,Cholesterol - LDL & Triglycerides,2013,2014,Laboratory,None
SEQN,Respondent sequence number,TRIGLY_H,Cholesterol - LDL & Triglycerides,2013,2014,Laboratory,None
WTSAF2YR,Fasting Subsample 2 Year MEC Weight,TRIGLY_H,Cholesterol - LDL & Triglycerides,2013,2014,Laboratory,None
LBDESTLC,Estradiol Comment Code,TST_H,Sex Steroid Hormone - Serum,2013,2014,Laboratory,None
LBDSHGLC,SHBG Comment Code,TST_H,Sex Steroid Hormone - Serum,2013,2014,Laboratory,None
LBDTSTLC,Testosterone comment code,TST_H,Sex Steroid Hormone - Serum,2013,2014,Laboratory,None
LBXEST,Estradiol (pg/mL),TST_H,Sex Steroid Hormone - Serum,2013,2014,Laboratory,None
LBXSHBG,"Sex Hormone Binding Globulin (SHBG, nmol/L)",TST_H,Sex Steroid Hormone - Serum,2013,2014,Laboratory,None
LBXTST,"Testosterone, total (ng/dL)",TST_H,Sex Steroid Hormone - Serum,2013,2014,Laboratory,None
SEQN,Respondent sequence number.,TST_H,Sex Steroid Hormone - Serum,2013,2014,Laboratory,None
SEQN,Respondent sequence number.,UCFLOW_H,Urine Flow Rate,2013,2014,Laboratory,None
URDFLOW1,Urine #1 Flow Rate (mL/min),UCFLOW_H,Urine Flow Rate,2013,2014,Laboratory,None
URDFLOW2,Urine #2 Flow Rate (mL/min),UCFLOW_H,Urine Flow Rate,2013,2014,Laboratory,None
URDFLOW3,Urine #3 Flow Rate (mL/min),UCFLOW_H,Urine Flow Rate,2013,2014,Laboratory,None
URDTIME1,The time between last urination and the first urine sample collection in minutes,UCFLOW_H,Urine Flow Rate,2013,2014,Laboratory,None
URDTIME2,The time between the first and second urine sample collections in minutes,UCFLOW_H,Urine Flow Rate,2013,2014,Laboratory,None
URDTIME3,The time between the second and third urine sample collections in minutes,UCFLOW_H,Urine Flow Rate,2013,2014,Laboratory,None
URXVOL1,The volume of urine collection #1 (mL),UCFLOW_H,Urine Flow Rate,2013,2014,Laboratory,None
URXVOL2,The volume of urine collection #2 (mL),UCFLOW_H,Urine Flow Rate,2013,2014,Laboratory,None
URXVOL3,The volume of urine collection #3 (mL),UCFLOW_H,Urine Flow Rate,2013,2014,Laboratory,None
SEQN,Respondent sequence number.,UCPREG_H,Pregnancy Test - Urine,2013,2014,Laboratory,None
URXPREG,Pregnancy test result,UCPREG_H,Pregnancy Test - Urine,2013,2014,Laboratory,None
SEQN,Respondent sequence number,UHG_H,Mercury: Inorganic - Urine,2013,2014,Laboratory,None
URDUHGLC,"Mercury, urine comment code",UHG_H,Mercury: Inorganic - Urine,2013,2014,Laboratory,None
URXUCR,"Creatinine, urine (mg/dL)",UHG_H,Mercury: Inorganic - Urine,2013,2014,Laboratory,None
URXUHG,"Mercury, urine (ug/L)",UHG_H,Mercury: Inorganic - Urine,2013,2014,Laboratory,None
WTSA2YR,Subsample A weights,UHG_H,Mercury: Inorganic - Urine,2013,2014,Laboratory,None
SEQN,Respondent sequence number.,UM_H,Metals - Urine,2013,2014,Laboratory,None
URDUBALC,Urinary Barium comment code,UM_H,Metals - Urine,2013,2014,Laboratory,None
URDUCDLC,Urinary Cadmium comment code,UM_H,Metals - Urine,2013,2014,Laboratory,None
URDUCOLC,Urinary Cobalt (ug/L) comment code,UM_H,Metals - Urine,2013,2014,Laboratory,None
URDUCSLC,Urinary Cesium comment code,UM_H,Metals - Urine,2013,2014,Laboratory,None
URDUMNLC,Urinary Mn comment code,UM_H,Metals - Urine,2013,2014,Laboratory,None
URDUMOLC,Urinary Molybdenum comment code,UM_H,Metals - Urine,2013,2014,Laboratory,None
URDUPBLC,Urinary Lead comment code,UM_H,Metals - Urine,2013,2014,Laboratory,None
URDUSBLC,Urinary Antimony comment code,UM_H,Metals - Urine,2013,2014,Laboratory,None
URDUSNLC,Tin comment code,UM_H,Metals - Urine,2013,2014,Laboratory,None
URDUSRLC,Strontium comment code,UM_H,Metals - Urine,2013,2014,Laboratory,None
URDUTLLC,Urinary Thallium comment code,UM_H,Metals - Urine,2013,2014,Laboratory,None
URDUTULC,Urinary Tungsten comment code,UM_H,Metals - Urine,2013,2014,Laboratory,None
URDUURLC,Urinary Uranium comment code,UM_H,Metals - Urine,2013,2014,Laboratory,None
URXUBA,"Barium, urine (ug/L)",UM_H,Metals - Urine,2013,2014,Laboratory,None
URXUCD,"Cadmium, urine (ug/L)",UM_H,Metals - Urine,2013,2014,Laboratory,None
URXUCO,"Cobalt, urine (ug/L)",UM_H,Metals - Urine,2013,2014,Laboratory,None
URXUCR,"Creatinine, urine (mg/dL)",UM_H,Metals - Urine,2013,2014,Laboratory,None
URXUCS,"Cesium, urine (ug/L)",UM_H,Metals - Urine,2013,2014,Laboratory,None
URXUMN,"Manganese, urine (ug/L)",UM_H,Metals - Urine,2013,2014,Laboratory,None
URXUMO,"Molybdenum, urine (ug/L)",UM_H,Metals - Urine,2013,2014,Laboratory,None
URXUPB,"Lead, urine (ug/L)",UM_H,Metals - Urine,2013,2014,Laboratory,None
URXUSB,"Antimony, urine (ug/L)",UM_H,Metals - Urine,2013,2014,Laboratory,None
URXUSN,"Tin, urine (ug/L)",UM_H,Metals - Urine,2013,2014,Laboratory,None
URXUSR,"Strontium, urine (ug/L)",UM_H,Metals - Urine,2013,2014,Laboratory,None
URXUTL,"Thallium, urine (ug/L)",UM_H,Metals - Urine,2013,2014,Laboratory,None
URXUTU,"Tungsten, urine (ug/L)",UM_H,Metals - Urine,2013,2014,Laboratory,None
URXUUR,"Uranium, urinary (ug/L)",UM_H,Metals - Urine,2013,2014,Laboratory,None
WTSA2YR,Subsample A weights,UM_H,Metals - Urine,2013,2014,Laboratory,None
SEQN,Respondent sequence number,UIO_H,Iodine - Urine,2013,2014,Laboratory,None
URXUCR,"Creatinine, urine (mg/dL)",UIO_H,Iodine - Urine,2013,2014,Laboratory,None
URXUIO,"Iodine, urine (ug/L)",UIO_H,Iodine - Urine,2013,2014,Laboratory,None
WTSA2YR,Subsample A weights,UIO_H,Iodine - Urine,2013,2014,Laboratory,None
LBDGLUSI,Fasting Glucose (mmol/L),GLU_H,Plasma Fasting Glucose,2013,2014,Laboratory,None
LBXGLU,Fasting Glucose (mg/dL),GLU_H,Plasma Fasting Glucose,2013,2014,Laboratory,None
PHAFSTHR,"Total length of 'food fast', hours",GLU_H,Plasma Fasting Glucose,2013,2014,Laboratory,None
PHAFSTMN,"Total length of 'food fast', minutes",GLU_H,Plasma Fasting Glucose,2013,2014,Laboratory,None
SEQN,Respondent sequence number,GLU_H,Plasma Fasting Glucose,2013,2014,Laboratory,None
WTSAF2YR,Fasting Subsample 2 Year MEC Weight,GLU_H,Plasma Fasting Glucose,2013,2014,Laboratory,None
LBDPFL,"Fluoride, plasma (umol/L) average 2 values",FLDEP_H,Fluoride - Plasma,2013,2014,Laboratory,None
LBDPFLLC,"Fluoride, plasma comment code",FLDEP_H,Fluoride - Plasma,2013,2014,Laboratory,None
SEQN,Respondent sequence number,FLDEP_H,Fluoride - Plasma,2013,2014,Laboratory,None
LBDWFL,"Fluoride, water (mg/L) average 2 values",FLDEW_H,Fluoride - Water,2013,2014,Laboratory,None
LBDWFLLC,"Fluoride, water comment code",FLDEW_H,Fluoride - Water,2013,2014,Laboratory,None
SEQN,Respondent sequence number.,FLDEW_H,Fluoride - Water,2013,2014,Laboratory,None
LBXHCG,Hepatitis C genotype,HEPC_H,Hepatitis C: RNA (HCV-RNA) and Hepatitis C Genotype,2013,2014,Laboratory,None
LBXHCR,Hepatitis C RNA (HCV-RNA),HEPC_H,Hepatitis C: RNA (HCV-RNA) and Hepatitis C Genotype,2013,2014,Laboratory,None
SEQN,Respondent sequence number.,HEPC_H,Hepatitis C: RNA (HCV-RNA) and Hepatitis C Genotype,2013,2014,Laboratory,None
LBDHEG,Hepatitis E IgG (anti-HEV),HEPE_H,Hepatitis E: IgG & IgM Antibodies,2013,2014,Laboratory,None
LBDHEM,Hepatitis E IgM (anti-HEV),HEPE_H,Hepatitis E: IgG & IgM Antibodies,2013,2014,Laboratory,None
SEQN,Respondent sequence number,HEPE_H,Hepatitis E: IgG & IgM Antibodies,2013,2014,Laboratory,None
LBDBGELC,"Mercury, ethyl comment code",IHGEM_H,"Mercury: Inorganic, Ethyl and Methyl - Blood",2013,2014,Laboratory,None
LBDBGMLC,"Mercury, methyl comment code",IHGEM_H,"Mercury: Inorganic, Ethyl and Methyl - Blood",2013,2014,Laboratory,None
LBDIHGLC,"Mercury, inorganic comment code",IHGEM_H,"Mercury: Inorganic, Ethyl and Methyl - Blood",2013,2014,Laboratory,None
LBDIHGSI,"Mercury, inorganic (umol/L )",IHGEM_H,"Mercury: Inorganic, Ethyl and Methyl - Blood",2013,2014,Laboratory,None
LBXBGE,"Mercury, ethyl (ug/L)",IHGEM_H,"Mercury: Inorganic, Ethyl and Methyl - Blood",2013,2014,Laboratory,None
LBXBGM,"Mercury, methyl (ug/L)",IHGEM_H,"Mercury: Inorganic, Ethyl and Methyl - Blood",2013,2014,Laboratory,None
LBXIHG,"Inorganic mercury, blood (ug/L)",IHGEM_H,"Mercury: Inorganic, Ethyl and Methyl - Blood",2013,2014,Laboratory,None
SEQN,Respondent sequence number.,IHGEM_H,"Mercury: Inorganic, Ethyl and Methyl - Blood",2013,2014,Laboratory,None
WTSH2YR,Blood metal weights,IHGEM_H,"Mercury: Inorganic, Ethyl and Methyl - Blood",2013,2014,Laboratory,None
